Id,Label
6001,8
6002,4
6003,5
6004,9
6005,2
6006,2
6007,5
6008,9
6009,7
6010,2
6011,8
6012,8
6013,4
6014,2
6015,2
6016,8
6017,5
6018,8
6019,0
6020,4
6021,4
6022,0
6023,8
6024,2
6025,8
6026,8
6027,6
6028,8
6029,0
6030,0
6031,4
6032,9
6033,8
6034,2
6035,0
6036,1
6037,4
6038,5
6039,0
6040,6
6041,6
6042,8
6043,8
6044,3
6045,6
6046,5
6047,2
6048,8
6049,4
6050,2
6051,4
6052,3
6053,8
6054,4
6055,4
6056,5
6057,7
6058,9
6059,3
6060,0
6061,4
6062,1
6063,9
6064,5
6065,2
6066,2
6067,9
6068,4
6069,9
6070,8
6071,8
6072,2
6073,2
6074,8
6075,5
6076,1
6077,1
6078,0
6079,7
6080,7
6081,6
6082,8
6083,6
6084,7
6085,8
6086,6
6087,2
6088,5
6089,6
6090,1
6091,4
6092,2
6093,3
6094,8
6095,0
6096,0
6097,4
6098,4
6099,9
6100,8
6101,4
6102,1
6103,0
6104,6
6105,8
6106,5
6107,2
6108,1
6109,6
6110,2
6111,2
6112,8
6113,8
6114,3
6115,8
6116,0
6117,1
6118,3
6119,9
6120,1
6121,2
6122,3
6123,7
6124,6
6125,8
6126,4
6127,2
6128,3
6129,6
6130,3
6131,1
6132,8
6133,6
6134,9
6135,3
6136,4
6137,6
6138,0
6139,4
6140,0
6141,6
6142,1
6143,8
6144,0
6145,2
6146,8
6147,8
6148,5
6149,4
6150,3
6151,2
6152,7
6153,4
6154,2
6155,7
6156,0
6157,5
6158,3
6159,7
6160,0
6161,4
6162,9
6163,9
6164,2
6165,5
6166,8
6167,1
6168,0
6169,8
6170,8
6171,3
6172,4
6173,0
6174,5
6175,5
6176,5
6177,1
6178,8
6179,9
6180,1
6181,5
6182,1
6183,0
6184,7
6185,9
6186,1
6187,1
6188,0
6189,4
6190,0
6191,8
6192,7
6193,9
6194,5
6195,0
6196,8
6197,9
6198,2
6199,8
6200,4
6201,6
6202,1
6203,7
6204,7
6205,9
6206,2
6207,7
6208,3
6209,7
6210,2
6211,9
6212,6
6213,5
6214,3
6215,1
6216,4
6217,7
6218,1
6219,4
6220,6
6221,1
6222,6
6223,3
6224,0
6225,8
6226,6
6227,9
6228,4
6229,2
6230,0
6231,3
6232,9
6233,8
6234,6
6235,8
6236,8
6237,2
6238,5
6239,5
6240,1
6241,0
6242,1
6243,4
6244,2
6245,2
6246,3
6247,2
6248,1
6249,5
6250,9
6251,2
6252,1
6253,0
6254,8
6255,2
6256,1
6257,1
6258,1
6259,8
6260,1
6261,7
6262,5
6263,2
6264,4
6265,7
6266,5
6267,4
6268,1
6269,3
6270,1
6271,2
6272,0
6273,9
6274,4
6275,8
6276,2
6277,7
6278,2
6279,8
6280,0
6281,4
6282,6
6283,8
6284,2
6285,4
6286,9
6287,5
6288,4
6289,2
6290,8
6291,8
6292,4
6293,0
6294,5
6295,4
6296,1
6297,7
6298,0
6299,8
6300,3
6301,4
6302,0
6303,8
6304,8
6305,7
6306,5
6307,0
6308,2
6309,5
6310,4
6311,9
6312,4
6313,2
6314,9
6315,2
6316,5
6317,5
6318,7
6319,1
6320,1
6321,2
6322,4
6323,5
6324,9
6325,4
6326,6
6327,1
6328,4
6329,5
6330,4
6331,6
6332,5
6333,6
6334,9
6335,2
6336,0
6337,8
6338,0
6339,4
6340,9
6341,3
6342,0
6343,1
6344,3
6345,1
6346,8
6347,7
6348,0
6349,2
6350,3
6351,5
6352,1
6353,1
6354,0
6355,8
6356,6
6357,4
6358,6
6359,9
6360,6
6361,2
6362,9
6363,4
6364,4
6365,1
6366,0
6367,1
6368,8
6369,6
6370,2
6371,5
6372,3
6373,8
6374,6
6375,8
6376,2
6377,2
6378,7
6379,2
6380,8
6381,8
6382,4
6383,7
6384,2
6385,1
6386,3
6387,0
6388,6
6389,9
6390,9
6391,0
6392,0
6393,9
6394,4
6395,8
6396,1
6397,4
6398,4
6399,5
6400,4
6401,8
6402,4
6403,7
6404,9
6405,2
6406,1
6407,1
6408,2
6409,1
6410,6
6411,0
6412,1
6413,0
6414,2
6415,6
6416,2
6417,0
6418,1
6419,8
6420,5
6421,5
6422,1
6423,1
6424,5
6425,0
6426,0
6427,8
6428,9
6429,6
6430,7
6431,8
6432,3
6433,7
6434,7
6435,2
6436,7
6437,8
6438,3
6439,2
6440,7
6441,3
6442,8
6443,8
6444,0
6445,8
6446,4
6447,4
6448,2
6449,4
6450,4
6451,8
6452,9
6453,5
6454,8
6455,0
6456,3
6457,7
6458,5
6459,6
6460,8
6461,8
6462,4
6463,4
6464,9
6465,8
6466,1
6467,0
6468,2
6469,1
6470,2
6471,1
6472,6
6473,6
6474,0
6475,6
6476,0
6477,5
6478,8
6479,8
6480,7
6481,3
6482,8
6483,8
6484,3
6485,1
6486,4
6487,8
6488,3
6489,2
6490,1
6491,6
6492,0
6493,6
6494,7
6495,7
6496,2
6497,0
6498,6
6499,6
6500,4
6501,3
6502,8
6503,8
6504,0
6505,9
6506,8
6507,8
6508,1
6509,2
6510,8
6511,0
6512,0
6513,0
6514,2
6515,0
6516,9
6517,0
6518,0
6519,8
6520,6
6521,0
6522,4
6523,4
6524,8
6525,4
6526,2
6527,1
6528,4
6529,0
6530,7
6531,4
6532,3
6533,0
6534,6
6535,7
6536,2
6537,8
6538,0
6539,5
6540,2
6541,8
6542,6
6543,3
6544,7
6545,8
6546,5
6547,1
6548,0
6549,8
6550,3
6551,2
6552,4
6553,7
6554,1
6555,4
6556,8
6557,8
6558,3
6559,8
6560,2
6561,2
6562,3
6563,1
6564,4
6565,5
6566,4
6567,9
6568,3
6569,0
6570,4
6571,4
6572,6
6573,5
6574,2
6575,5
6576,1
6577,7
6578,3
6579,3
6580,4
6581,3
6582,9
6583,7
6584,7
6585,8
6586,6
6587,9
6588,1
6589,2
6590,1
6591,7
6592,7
6593,1
6594,2
6595,6
6596,5
6597,6
6598,7
6599,4
6600,3
6601,0
6602,1
6603,7
6604,8
6605,8
6606,1
6607,2
6608,4
6609,2
6610,6
6611,7
6612,4
6613,9
6614,3
6615,4
6616,0
6617,8
6618,0
6619,6
6620,5
6621,0
6622,5
6623,7
6624,6
6625,7
6626,8
6627,4
6628,3
6629,1
6630,8
6631,5
6632,7
6633,1
6634,2
6635,5
6636,4
6637,2
6638,4
6639,0
6640,1
6641,4
6642,6
6643,2
6644,2
6645,5
6646,8
6647,3
6648,9
6649,1
6650,0
6651,8
6652,6
6653,5
6654,8
6655,5
6656,3
6657,9
6658,2
6659,8
6660,8
6661,9
6662,4
6663,0
6664,9
6665,8
6666,2
6667,4
6668,8
6669,8
6670,7
6671,1
6672,6
6673,0
6674,5
6675,3
6676,1
6677,4
6678,0
6679,2
6680,0
6681,5
6682,9
6683,5
6684,0
6685,9
6686,3
6687,2
6688,8
6689,5
6690,5
6691,0
6692,0
6693,5
6694,1
6695,3
6696,6
6697,6
6698,9
6699,2
6700,3
6701,2
6702,1
6703,5
6704,0
6705,8
6706,1
6707,8
6708,8
6709,6
6710,0
6711,8
6712,6
6713,2
6714,8
6715,6
6716,0
6717,0
6718,3
6719,6
6720,3
6721,8
6722,0
6723,5
6724,5
6725,0
6726,0
6727,9
6728,5
6729,2
6730,3
6731,4
6732,1
6733,2
6734,1
6735,9
6736,8
6737,8
6738,1
6739,3
6740,6
6741,8
6742,8
6743,0
6744,1
6745,3
6746,8
6747,8
6748,9
6749,1
6750,0
6751,8
6752,8
6753,8
6754,1
6755,9
6756,2
6757,9
6758,7
6759,4
6760,3
6761,4
6762,6
6763,5
6764,5
6765,8
6766,4
6767,7
6768,8
6769,4
6770,7
6771,5
6772,3
6773,8
6774,4
6775,1
6776,7
6777,8
6778,2
6779,2
6780,0
6781,8
6782,7
6783,1
6784,8
6785,0
6786,8
6787,5
6788,4
6789,5
6790,8
6791,0
6792,4
6793,7
6794,8
6795,4
6796,8
6797,8
6798,1
6799,5
6800,4
6801,9
6802,4
6803,3
6804,9
6805,6
6806,8
6807,6
6808,9
6809,5
6810,2
6811,0
6812,8
6813,8
6814,3
6815,8
6816,9
6817,2
6818,2
6819,3
6820,0
6821,9
6822,4
6823,0
6824,5
6825,1
6826,6
6827,0
6828,5
6829,6
6830,5
6831,2
6832,1
6833,9
6834,2
6835,0
6836,8
6837,2
6838,6
6839,0
6840,3
6841,3
6842,4
6843,1
6844,6
6845,8
6846,0
6847,8
6848,1
6849,5
6850,0
6851,1
6852,2
6853,8
6854,9
6855,9
6856,8
6857,5
6858,2
6859,1
6860,2
6861,4
6862,8
6863,1
6864,6
6865,8
6866,1
6867,2
6868,7
6869,8
6870,6
6871,8
6872,4
6873,1
6874,7
6875,4
6876,5
6877,0
6878,9
6879,1
6880,9
6881,5
6882,6
6883,9
6884,2
6885,4
6886,5
6887,5
6888,2
6889,4
6890,4
6891,4
6892,0
6893,5
6894,8
6895,0
6896,2
6897,2
6898,1
6899,8
6900,7
6901,8
6902,0
6903,2
6904,6
6905,1
6906,8
6907,9
6908,4
6909,8
6910,6
6911,9
6912,4
6913,9
6914,4
6915,7
6916,1
6917,5
6918,8
6919,2
6920,0
6921,6
6922,6
6923,5
6924,0
6925,8
6926,7
6927,2
6928,3
6929,6
6930,8
6931,4
6932,1
6933,5
6934,6
6935,9
6936,2
6937,3
6938,1
6939,4
6940,3
6941,8
6942,6
6943,2
6944,4
6945,7
6946,9
6947,1
6948,8
6949,6
6950,6
6951,2
6952,5
6953,1
6954,1
6955,0
6956,9
6957,1
6958,7
6959,7
6960,7
6961,7
6962,7
6963,8
6964,8
6965,0
6966,0
6967,6
6968,6
6969,0
6970,4
6971,5
6972,2
6973,0
6974,4
6975,3
6976,2
6977,2
6978,1
6979,0
6980,8
6981,8
6982,0
6983,9
6984,5
6985,2
6986,7
6987,8
6988,1
6989,3
6990,4
6991,5
6992,6
6993,7
6994,6
6995,7
6996,9
6997,1
6998,2
6999,5
7000,2
7001,4
7002,5
7003,8
7004,1
7005,4
7006,1
7007,6
7008,0
7009,8
7010,9
7011,5
7012,8
7013,0
7014,1
7015,9
7016,5
7017,4
7018,7
7019,5
7020,3
7021,8
7022,8
7023,8
7024,3
7025,8
7026,0
7027,3
7028,2
7029,0
7030,2
7031,2
7032,6
7033,7
7034,0
7035,6
7036,6
7037,5
7038,7
7039,7
7040,4
7041,1
7042,4
7043,0
7044,1
7045,6
7046,1
7047,6
7048,8
7049,8
7050,0
7051,5
7052,9
7053,4
7054,8
7055,8
7056,5
7057,6
7058,8
7059,8
7060,7
7061,8
7062,9
7063,3
7064,9
7065,1
7066,0
7067,8
7068,4
7069,2
7070,1
7071,0
7072,7
7073,2
7074,6
7075,8
7076,8
7077,8
7078,8
7079,0
7080,9
7081,4
7082,3
7083,7
7084,1
7085,8
7086,4
7087,7
7088,9
7089,2
7090,1
7091,9
7092,0
7093,6
7094,2
7095,0
7096,1
7097,2
7098,2
7099,5
7100,3
7101,7
7102,3
7103,1
7104,8
7105,3
7106,8
7107,6
7108,6
7109,0
7110,0
7111,2
7112,0
7113,8
7114,5
7115,0
7116,7
7117,0
7118,0
7119,1
7120,7
7121,0
7122,5
7123,7
7124,9
7125,7
7126,5
7127,5
7128,0
7129,1
7130,9
7131,8
7132,1
7133,3
7134,0
7135,8
7136,0
7137,9
7138,0
7139,7
7140,8
7141,0
7142,2
7143,5
7144,6
7145,0
7146,4
7147,6
7148,0
7149,4
7150,6
7151,4
7152,2
7153,6
7154,7
7155,5
7156,8
7157,6
7158,9
7159,1
7160,8
7161,4
7162,4
7163,5
7164,3
7165,4
7166,4
7167,7
7168,9
7169,8
7170,1
7171,5
7172,4
7173,1
7174,8
7175,1
7176,0
7177,4
7178,8
7179,0
7180,8
7181,1
7182,4
7183,3
7184,1
7185,0
7186,6
7187,9
7188,5
7189,6
7190,0
7191,3
7192,1
7193,5
7194,5
7195,8
7196,8
7197,0
7198,0
7199,1
7200,0
7201,4
7202,0
7203,6
7204,1
7205,6
7206,4
7207,2
7208,4
7209,8
7210,5
7211,8
7212,2
7213,8
7214,4
7215,1
7216,4
7217,4
7218,1
7219,2
7220,2
7221,8
7222,4
7223,2
7224,7
7225,8
7226,3
7227,3
7228,0
7229,2
7230,5
7231,0
7232,2
7233,8
7234,3
7235,9
7236,8
7237,8
7238,0
7239,8
7240,0
7241,1
7242,5
7243,2
7244,5
7245,0
7246,4
7247,9
7248,1
7249,0
7250,0
7251,2
7252,3
7253,6
7254,8
7255,7
7256,0
7257,5
7258,2
7259,9
7260,9
7261,0
7262,2
7263,1
7264,0
7265,4
7266,1
7267,9
7268,3
7269,7
7270,7
7271,1
7272,5
7273,4
7274,5
7275,5
7276,2
7277,9
7278,2
7279,0
7280,5
7281,1
7282,2
7283,7
7284,6
7285,1
7286,1
7287,6
7288,5
7289,8
7290,1
7291,2
7292,7
7293,2
7294,0
7295,2
7296,8
7297,4
7298,7
7299,5
7300,2
7301,8
7302,7
7303,8
7304,0
7305,2
7306,8
7307,8
7308,3
7309,0
7310,9
7311,1
7312,6
7313,4
7314,8
7315,2
7316,5
7317,2
7318,3
7319,8
7320,0
7321,9
7322,2
7323,3
7324,9
7325,5
7326,5
7327,7
7328,8
7329,8
7330,1
7331,2
7332,4
7333,4
7334,8
7335,4
7336,4
7337,1
7338,4
7339,1
7340,8
7341,5
7342,4
7343,7
7344,5
7345,0
7346,4
7347,0
7348,5
7349,0
7350,2
7351,8
7352,8
7353,8
7354,4
7355,2
7356,1
7357,4
7358,8
7359,8
7360,6
7361,9
7362,6
7363,0
7364,4
7365,8
7366,6
7367,0
7368,8
7369,9
7370,3
7371,6
7372,1
7373,4
7374,8
7375,8
7376,8
7377,5
7378,6
7379,8
7380,0
7381,6
7382,0
7383,0
7384,7
7385,1
7386,2
7387,0
7388,8
7389,6
7390,8
7391,5
7392,8
7393,7
7394,3
7395,6
7396,0
7397,1
7398,2
7399,0
7400,2
7401,8
7402,6
7403,1
7404,8
7405,0
7406,2
7407,6
7408,6
7409,6
7410,8
7411,8
7412,1
7413,3
7414,2
7415,4
7416,7
7417,2
7418,9
7419,2
7420,0
7421,0
7422,7
7423,8
7424,7
7425,3
7426,0
7427,4
7428,0
7429,9
7430,8
7431,8
7432,7
7433,0
7434,4
7435,7
7436,8
7437,0
7438,7
7439,8
7440,1
7441,9
7442,1
7443,2
7444,4
7445,9
7446,1
7447,7
7448,8
7449,5
7450,3
7451,2
7452,2
7453,6
7454,0
7455,1
7456,4
7457,5
7458,1
7459,0
7460,8
7461,4
7462,7
7463,0
7464,8
