Id,Label
6001,8
6002,7
6003,0
6004,8
6005,8
6006,1
6007,9
6008,6
6009,7
6010,5
6011,9
6012,8
6013,3
6014,7
6015,2
6016,6
6017,5
6018,0
6019,2
6020,2
6021,8
6022,4
6023,0
6024,7
6025,3
6026,2
6027,8
6028,2
6029,8
6030,7
6031,5
6032,8
6033,9
6034,7
6035,9
6036,4
6037,7
6038,2
6039,4
6040,4
6041,6
6042,7
6043,0
6044,8
6045,6
6046,7
6047,2
6048,1
6049,3
6050,9
6051,0
6052,3
6053,0
6054,5
6055,8
6056,4
6057,2
6058,9
6059,2
6060,3
6061,4
6062,4
6063,6
6064,5
6065,5
6066,3
6067,1
6068,5
6069,9
6070,2
6071,0
6072,3
6073,7
6074,9
6075,9
6076,7
6077,1
6078,1
6079,5
6080,8
6081,1
6082,2
6083,9
6084,4
6085,8
6086,8
6087,8
6088,9
6089,8
6090,5
6091,7
6092,3
6093,4
6094,4
6095,9
6096,6
6097,4
6098,7
6099,6
6100,1
6101,9
6102,6
6103,9
6104,6
6105,4
6106,3
6107,7
6108,3
6109,4
6110,8
6111,1
6112,6
6113,6
6114,6
6115,5
6116,1
6117,3
6118,9
6119,9
6120,3
6121,3
6122,8
6123,3
6124,1
6125,5
6126,2
6127,7
6128,6
6129,1
6130,3
6131,3
6132,0
6133,2
6134,8
6135,8
6136,3
6137,4
6138,3
6139,4
6140,3
6141,7
6142,8
6143,6
6144,0
6145,1
6146,7
6147,8
6148,1
6149,3
6150,8
6151,4
6152,8
6153,9
6154,4
6155,3
6156,8
6157,1
6158,8
6159,8
6160,5
6161,6
6162,9
6163,5
6164,0
6165,3
6166,1
6167,2
6168,6
6169,2
6170,3
6171,8
6172,9
6173,3
6174,8
6175,6
6176,0
6177,8
6178,9
6179,6
6180,3
6181,8
6182,3
6183,7
6184,4
6185,5
6186,3
6187,3
6188,8
6189,3
6190,8
6191,3
6192,7
6193,2
6194,8
6195,6
6196,0
6197,4
6198,9
6199,1
6200,7
6201,4
6202,8
6203,9
6204,3
6205,8
6206,8
6207,3
6208,3
6209,4
6210,6
6211,1
6212,4
6213,8
6214,4
6215,5
6216,6
6217,4
6218,9
6219,3
6220,9
6221,9
6222,3
6223,5
6224,7
6225,4
6226,2
6227,3
6228,8
6229,7
6230,8
6231,0
6232,6
6233,3
6234,1
6235,2
6236,9
6237,5
6238,2
6239,0
6240,9
6241,1
6242,9
6243,0
6244,5
6245,8
6246,0
6247,8
6248,8
6249,1
6250,9
6251,1
6252,1
6253,9
6254,6
6255,8
6256,8
6257,3
6258,9
6259,8
6260,8
6261,2
6262,9
6263,1
6264,1
6265,9
6266,2
6267,2
6268,1
6269,0
6270,9
6271,7
6272,4
6273,2
6274,7
6275,8
6276,7
6277,7
6278,3
6279,5
6280,8
6281,8
6282,1
6283,6
6284,8
6285,0
6286,6
6287,2
6288,3
6289,4
6290,3
6291,8
6292,6
6293,1
6294,2
6295,3
6296,4
6297,4
6298,9
6299,9
6300,3
6301,8
6302,8
6303,6
6304,9
6305,3
6306,3
6307,9
6308,2
6309,8
6310,4
6311,6
6312,4
6313,0
6314,8
6315,7
6316,0
6317,1
6318,1
6319,1
6320,1
6321,3
6322,4
6323,0
6324,2
6325,8
6326,9
6327,8
6328,7
6329,8
6330,9
6331,9
6332,6
6333,8
6334,4
6335,7
6336,8
6337,0
6338,3
6339,5
6340,3
6341,5
6342,4
6343,3
6344,9
6345,8
6346,6
6347,3
6348,7
6349,9
6350,3
6351,2
6352,4
6353,3
6354,8
6355,3
6356,2
6357,6
6358,9
6359,6
6360,1
6361,1
6362,4
6363,4
6364,9
6365,1
6366,3
6367,8
6368,9
6369,3
6370,1
6371,2
6372,6
6373,0
6374,1
6375,6
6376,8
6377,5
6378,1
6379,9
6380,1
6381,8
6382,9
6383,2
6384,1
6385,8
6386,4
6387,9
6388,3
6389,9
6390,6
6391,8
6392,1
6393,1
6394,4
6395,4
6396,4
6397,1
6398,9
6399,8
6400,9
6401,0
6402,7
6403,9
6404,8
6405,7
6406,9
6407,9
6408,0
6409,6
6410,3
6411,8
6412,8
6413,8
6414,1
6415,7
6416,3
6417,8
6418,1
6419,3
6420,1
6421,8
6422,9
6423,6
6424,5
6425,4
6426,7
6427,6
